# z	dc	dL	dVc_dz
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000021e-02	4.415316642120765966e-02	4.459469808541973584e-02	1.076683436073849059e-01
2.000000000000000042e-02	8.810271911857756044e-02	8.986477350094909666e-02	4.266918490049124713e-01
2.999999999999999889e-02	1.318474609854342339e-01	1.358028848149972490e-01	9.511079872291021697e-01
4.000000000000000083e-02	1.753862577739304096e-01	1.824017080848876482e-01	1.674971871114596000e+00
5.000000000000000278e-02	2.187180378988266560e-01	2.296539397937679694e-01	2.592361895031242813e+00
5.999999999999999778e-02	2.618417921726501896e-01	2.775522997030092087e-01	3.697385190334399496e+00
7.000000000000000666e-02	3.047565734746806587e-01	3.260895336179083781e-01	4.984182888507765696e+00
8.000000000000000167e-02	3.474614963562900893e-01	3.752584160647933209e-01	6.446935184964465826e+00
8.999999999999999667e-02	3.899557365852321933e-01	4.250517528779031440e-01	8.079866197444349751e+00
1.000000000000000056e-01	4.322385306315352227e-01	4.754623836946887949e-01	9.877248613899290319e+00
1.100000000000000006e-01	4.743091750976944354e-01	5.264831843584408810e-01	1.183340812568879130e+01
1.199999999999999956e-01	5.161670260959003720e-01	5.781070692274085099e-01	1.394272764281244470e+01
1.300000000000000044e-01	5.578114985750610710e-01	6.303269933898190125e-01	1.619965128877946015e+01
1.400000000000000133e-01	5.992420656003907276e-01	6.831359547844454427e-01	1.859868817355606652e+01
1.499999999999999944e-01	6.404582575883464024e-01	7.365269962265982295e-01	2.113441594383636257e+01
1.600000000000000033e-01	6.814596614996861756e-01	7.904932073396359060e-01	2.380148411064869052e+01
1.700000000000000122e-01	7.222459199934138097e-01	8.450277263922940651e-01	2.659461715503642765e+01
1.799999999999999933e-01	7.628167305443517288e-01	9.001237420423349178e-01	2.950861741323686260e+01
1.900000000000000022e-01	8.031718445270583651e-01	9.557744949871994633e-01	3.253836774342487104e+01
2.000000000000000111e-01	8.433110662687688386e-01	1.011973279522522695e+00	3.567883397668704504e+01
2.099999999999999922e-01	8.832342520739978609e-01	1.068713445009537244e+00	3.892506715544730866e+01
2.200000000000000011e-01	9.229413092233945681e-01	1.125988397252541517e+00	4.227220556307673149e+01
2.300000000000000100e-01	9.624321949493879202e-01	1.183791599787747062e+00	4.571547654888765777e+01
2.399999999999999911e-01	1.001706915391098018e+00	1.242116575084961649e+00	4.925019815313645211e+01
2.500000000000000000e-01	1.040765524530934627e+00	1.300956905663668062e+00	5.287178053704084135e+01
2.600000000000000089e-01	1.079608123115225249e+00	1.360306235125184005e+00	5.657572722315664748e+01
2.700000000000000178e-01	1.118234857561157369e+00	1.420158269102669957e+00	6.035763615175812191e+01
2.800000000000000266e-01	1.156645918852235555e+00	1.480506776130861457e+00	6.421320055912396185e+01
2.899999999999999800e-01	1.194841541424384035e+00	1.541345588437455616e+00	6.813820968385238075e+01
2.999999999999999889e-01	1.232822002044745568e+00	1.602668602658169128e+00	7.212854930751193194e+01
3.099999999999999978e-01	1.270587618685145914e+00	1.664469780477541239e+00	7.618020213608326685e+01
3.200000000000000067e-01	1.308138749392115274e+00	1.726743149197592420e+00	8.028924802876217370e+01
3.300000000000000155e-01	1.345475791155270606e+00	1.789482802236510128e+00	8.445186408077697138e+01
3.400000000000000244e-01	1.382599178775785642e+00	1.852682899559553009e+00	8.866432456692687936e+01
3.500000000000000333e-01	1.419509383736588859e+00	1.916337668044395093e+00	9.292300075257300307e+01
3.599999999999999867e-01	1.456206913075843268e+00	1.980441401783146649e+00	9.722436057881149907e+01
3.699999999999999956e-01	1.492692308265192169e+00	2.044988462323313438e+00	1.015649682285345250e+02
3.800000000000000044e-01	1.528966144094151769e+00	2.109973278849929024e+00	1.059414835800342161e+02
3.900000000000000133e-01	1.565029027561972708e+00	2.175390348311142308e+00	1.103506615547374849e+02
4.000000000000000222e-01	1.600881596778196192e+00	2.241234235489474536e+00	1.147893513655710365e+02
4.100000000000000311e-01	1.636524519873057582e+00	2.307499573021011496e+00	1.192544956723499467e+02
4.199999999999999845e-01	1.671958493918816790e+00	2.374181061364719625e+00	1.237431296504652494e+02
4.299999999999999933e-01	1.707184243863009376e+00	2.441273468724103335e+00	1.282523799790072871e+02
4.400000000000000022e-01	1.742202521474548904e+00	2.508771630923350315e+00	1.327794637543198633e+02
4.500000000000000111e-01	1.777014104303531683e+00	2.576670451240120840e+00	1.373216873348191314e+02
4.600000000000000200e-01	1.811619794655528359e+00	2.644964900197071422e+00	1.418764451227468157e+02
4.700000000000000289e-01	1.846020418581078681e+00	2.713650015314185815e+00	1.464412182883519051e+02
4.799999999999999822e-01	1.880216824881040694e+00	2.782720900823940191e+00	1.510135734418155380e+02
4.899999999999999911e-01	1.914209884128381001e+00	2.852172727351288017e+00	1.555911612580465544e+02
5.000000000000000000e-01	1.948000487706931905e+00	2.922000731560398190e+00	1.601717150592848213e+02
5.100000000000000089e-01	1.981589546867586149e+00	2.992200215770055127e+00	1.647530493602585864e+02
5.200000000000000178e-01	2.014977991802338053e+00	3.062766547539554018e+00	1.693330583804433900e+02
5.300000000000000266e-01	2.048166770736532083e+00	3.133695159226894678e+00	1.739097145277781067e+02
5.400000000000000355e-01	2.081156849039623946e+00	3.204981547521021046e+00	1.784810668579928006e+02
5.500000000000000444e-01	2.113949208354711562e+00	3.276621272949802766e+00	1.830452395135114614e+02
5.600000000000000533e-01	2.146544845747051067e+00	3.348609959365399735e+00	1.876004301456955545e+02
5.700000000000000622e-01	2.178944772871722169e+00	3.420943293408603481e+00	1.921449083240028415e+02
5.799999999999999600e-01	2.211150015160567861e+00	3.493617023953696776e+00	1.966770139354453590e+02
5.899999999999999689e-01	2.243161611028498648e+00	3.566626961535313001e+00	2.011951555775454779e+02
5.999999999999999778e-01	2.274980611099207461e+00	3.639968977758732738e+00	2.056978089478022866e+02
6.099999999999999867e-01	2.306608077450307270e+00	3.713639004694994306e+00	2.101835152325048455e+02
6.199999999999999956e-01	2.338045082877875380e+00	3.787633034262158915e+00	2.146508794975506760e+02
6.300000000000000044e-01	2.369292710180358252e+00	3.861947117593984125e+00	2.190985690837613618e+02
6.400000000000000133e-01	2.400352051461747127e+00	3.936577364397265022e+00	2.235253120090153800e+02
6.500000000000000222e-01	2.431224207453928976e+00	4.011519942298982677e+00	2.279298953793651208e+02
6.600000000000000311e-01	2.461910286858084440e+00	4.086771076184420259e+00	2.323111638111447803e+02
6.700000000000000400e-01	2.492411405704965333e+00	4.162327047527291768e+00	2.366680178659270837e+02
6.800000000000000488e-01	2.522728686733895387e+00	4.238184193712944747e+00	2.409994125000443432e+02
6.900000000000000577e-01	2.552863258790286860e+00	4.314338907355584674e+00	2.453043555302482162e+02
7.000000000000000666e-01	2.582816256241467823e+00	4.390787635610496231e+00	2.495819061169507336e+02
7.099999999999999645e-01	2.612588818410589653e+00	4.467526879482107915e+00	2.538311732663611338e+02
7.199999999999999734e-01	2.642182089028371372e+00	4.544553193128798796e+00	2.580513143527122679e+02
7.299999999999999822e-01	2.671597215702428585e+00	4.621863183165201505e+00	2.622415336616519426e+02
7.399999999999999911e-01	2.700835349403910790e+00	4.699453507962805254e+00	2.664010809557647121e+02
7.500000000000000000e-01	2.729897643971174848e+00	4.777320876949556094e+00	2.705292500630856694e+02
7.600000000000000089e-01	2.758785255630204603e+00	4.855462049909160527e+00	2.746253774893646096e+02
7.700000000000000178e-01	2.787499342531476465e+00	4.933873836280713299e+00	2.786888410547467174e+02
7.800000000000000266e-01	2.816041064302967634e+00	5.012553094459282654e+00	2.827190585554450308e+02
7.900000000000000355e-01	2.844411581619005869e+00	5.091496731098020589e+00	2.867154864508962078e+02
8.000000000000000444e-01	2.872612055784627749e+00	5.170701700412329238e+00	2.906776185768085838e+02
8.100000000000000533e-01	2.900643648335140323e+00	5.250165003486603865e+00	2.946049848844405119e+02
8.200000000000000622e-01	2.928507520650559304e+00	5.329883687584017871e+00	2.984971502063731350e+02
8.300000000000000711e-01	2.956204833584594738e+00	5.409854845459808992e+00	3.023537130489767719e+02
8.399999999999999689e-01	2.983736747107858189e+00	5.490075614678458393e+00	3.061743044117077375e+02
8.499999999999999778e-01	3.011104419964969470e+00	5.570543176935193408e+00	3.099585866333177933e+02
8.599999999999999867e-01	3.038309009345218303e+00	5.651254757382105254e+00	3.137062522649979996e+02
8.699999999999999956e-01	3.065351670566472730e+00	5.732207623959304499e+00	3.174170229704362782e+02
8.800000000000000044e-01	3.092233556771986525e+00	5.813399086731333654e+00	3.210906484527170619e+02
8.900000000000000133e-01	3.118955818639795652e+00	5.894826497229214368e+00	3.247269054079503690e+02
9.000000000000000222e-01	3.145519604104365374e+00	5.976487247798294433e+00	3.283255965054767671e+02
9.100000000000000311e-01	3.171926058090175360e+00	6.058378770952234760e+00	3.318865493944606442e+02
9.200000000000000400e-01	3.198176322256915061e+00	6.140498538733276668e+00	3.354096157366492434e+02
9.300000000000000488e-01	3.224271534755981605e+00	6.222844062079045280e+00	3.388946702650448515e+02
9.400000000000000577e-01	3.250212829997954689e+00	6.305412890196032016e+00	3.423416098682103552e+02
9.500000000000000666e-01	3.276001338430750032e+00	6.388202609939963139e+00	3.457503526999017254e+02
9.599999999999999645e-01	3.301638186328138325e+00	6.471210845203151152e+00	3.491208373137043850e+02
9.699999999999999734e-01	3.327124495588331232e+00	6.554435256309012914e+00	3.524530218223179077e+02
9.799999999999999822e-01	3.352461383542335582e+00	6.637873539413824631e+00	3.557468830811312159e+02
9.899999999999999911e-01	3.377649962771783976e+00	6.721523425915850503e+00	3.590024158956996416e+02
1.000000000000000000e+00	3.402691340935956710e+00	6.805382681871913420e+00	3.622196322527341295e+02
1.010000000000000009e+00	3.427586620607702805e+00	6.889449107421482310e+00	3.653985605741867744e+02
1.020000000000000018e+00	3.452336899117999014e+00	6.973720536218357857e+00	3.685392449940226243e+02
1.030000000000000027e+00	3.476943268408854593e+00	7.058194834869976120e+00	3.716417446572423842e+02
1.040000000000000036e+00	3.501406814894312713e+00	7.142869902384398451e+00	3.747061330407265132e+02
1.050000000000000044e+00	3.525728619329274949e+00	7.227743669625013467e+00	3.777324972954561986e+02
1.060000000000000053e+00	3.549909756685897477e+00	7.312814098772948412e+00	3.807209376096672599e+02
1.070000000000000062e+00	3.573951296037306768e+00	7.398079182797226316e+00	3.836715665924875225e+02
1.080000000000000071e+00	3.597854300448392273e+00	7.483536944932656532e+00	3.865845086776049015e+02
1.090000000000000080e+00	3.621619826873429204e+00	7.569185438165466628e+00	3.894598995465141229e+02
1.100000000000000089e+00	3.645248926060311589e+00	7.655022744726654338e+00	3.922978855708900028e+02
1.110000000000000098e+00	3.668742642461146453e+00	7.741046975593019575e+00	3.950986232736308921e+02
1.120000000000000107e+00	3.692102014149007072e+00	7.827256269995895188e+00	3.978622788081257227e+02
1.130000000000000115e+00	3.715328072740613496e+00	7.913648794937506281e+00	4.005890274552901360e+02
1.140000000000000124e+00	3.738421843324732485e+00	8.000222744714928780e+00	4.032790531379291110e+02
1.150000000000000133e+00	3.761384344396096147e+00	8.086976340451608181e+00	4.059325479519819169e+02
1.159999999999999920e+00	3.784216587794625664e+00	8.173907829636391398e+00	4.085497117142082288e+02
1.169999999999999929e+00	3.806919578649776259e+00	8.261015485670014868e+00	4.111307515258827721e+02
1.179999999999999938e+00	3.829494315329807996e+00	8.348297607418979638e+00	4.136758813520690410e+02
1.189999999999999947e+00	3.851941789395794569e+00	8.435752518776789444e+00	4.161853216160460534e+02
1.199999999999999956e+00	3.874262985560194217e+00	8.523378568232427455e+00	4.186592988084703961e+02
1.209999999999999964e+00	3.896458881649806472e+00	8.611174128446073439e+00	4.210980451108616194e+02
1.219999999999999973e+00	3.918530448572940195e+00	8.699137595831926362e+00	4.235017980330027285e+02
1.229999999999999982e+00	3.940478650290637486e+00	8.787267390148121748e+00	4.258708000638598037e+02
1.239999999999999991e+00	3.962304443791781594e+00	8.875561954093591055e+00	4.282052983356251161e+02
1.250000000000000000e+00	3.984008779071941841e+00	8.964019752911870142e+00	4.305055443004981726e+02
1.260000000000000009e+00	4.005592599115801455e+00	9.052639274001709424e+00	4.327717934198290664e+02
1.270000000000000018e+00	4.027056839883018213e+00	9.141419026534450154e+00	4.350043048652497077e+02
1.280000000000000027e+00	4.048402430297383781e+00	9.230357541078035410e+00	4.372033412314316934e+02
1.290000000000000036e+00	4.069630292239138747e+00	9.319453369227627348e+00	4.393691682601140656e+02
1.300000000000000044e+00	4.090741340540310134e+00	9.408705083242711709e+00	4.415020545750512042e+02
1.310000000000000053e+00	4.111736482982943919e+00	9.498111275690600763e+00	4.436022714275438261e+02
1.320000000000000062e+00	4.132616620300108679e+00	9.587670559096252987e+00	4.456700924522147602e+02
1.330000000000000071e+00	4.153382646179545112e+00	9.677381565598340174e+00	4.477057934327082194e+02
1.340000000000000080e+00	4.174035447269849541e+00	9.767242946611446541e+00	4.497096520769927110e+02
1.350000000000000089e+00	4.194575903189075916e+00	9.857253372494328758e+00	4.516819478019585858e+02
1.360000000000000098e+00	4.215004886535643536e+00	9.947411532224117892e+00	4.536229615270066802e+02
1.370000000000000107e+00	4.235323262901450114e+00	1.003771613307643662e+01	4.555329754763337746e+02
1.380000000000000115e+00	4.255531890887087165e+00	1.012816590031126651e+01	4.574122729896262172e+02
1.390000000000000124e+00	4.275631622119054676e+00	1.021875957686454051e+01	4.592611383408843722e+02
1.400000000000000133e+00	4.295623301268878258e+00	1.030949592304530960e+01	4.610798565651016929e+02
1.409999999999999920e+00	4.315507766074053286e+00	1.040037371623846951e+01	4.628687132925356877e+02
1.419999999999999929e+00	4.335285847360695222e+00	1.049139175061288221e+01	4.646279945903103794e+02
1.429999999999999938e+00	4.354958369067848167e+00	1.058254883683486725e+01	4.663579868111017959e+02
1.439999999999999947e+00	4.374526148273333526e+00	1.067384380178693526e+01	4.680589764486587114e+02
1.449999999999999956e+00	4.393989995221087241e+00	1.076527548829166392e+01	4.697312499999256943e+02
1.459999999999999964e+00	4.413350713349885268e+00	1.085684275484071826e+01	4.713750938335317073e+02
1.469999999999999973e+00	4.432609099323401303e+00	1.094854447532880037e+01	4.729907940644270639e+02
1.479999999999999982e+00	4.451765943061514186e+00	1.104037953879255518e+01	4.745786364344464232e+02
1.489999999999999991e+00	4.470822027772798357e+00	1.113234684915427053e+01	4.761389061985881881e+02
1.500000000000000000e+00	4.489778129988131639e+00	1.122444532497033087e+01	4.776718880168054966e+02
1.510000000000000009e+00	4.508635019595357285e+00	1.131667389918434630e+01	4.791778658511104823e+02
1.520000000000000018e+00	4.527393459874936354e+00	1.140903151888483791e+01	4.806571228677981367e+02
1.530000000000000027e+00	4.546054207536527336e+00	1.150151714506741563e+01	4.821099413446018502e+02
1.540000000000000036e+00	4.564618012756452181e+00	1.159412975240138977e+01	4.835366025826042460e+02
1.550000000000000044e+00	4.583085619215963469e+00	1.168686832900070804e+01	4.849373868227191338e+02
1.560000000000000053e+00	4.601457764140296725e+00	1.177973187619915940e+01	4.863125731665848548e+02
1.570000000000000062e+00	4.619735178338422621e+00	1.187271940832974693e+01	4.876624395016950757e+02
1.580000000000000071e+00	4.637918586243477748e+00	1.196582995250817127e+01	4.889872624306133844e+02
1.590000000000000080e+00	4.656008705953803783e+00	1.205906254842035175e+01	4.902873172041137195e+02
1.600000000000000089e+00	4.674006249274570202e+00	1.215241624811388199e+01	4.915628776581002626e+02
1.610000000000000098e+00	4.691911921759922777e+00	1.224589011579340081e+01	4.928142161541586006e+02
1.620000000000000107e+00	4.709726422755621478e+00	1.233948322761972882e+01	4.940416035236023049e+02
1.630000000000000115e+00	4.727450445442125115e+00	1.243319467151278879e+01	4.952453090148725892e+02
1.640000000000000124e+00	4.745084676878093433e+00	1.252702354695816567e+01	4.964256002441699707e+02
1.650000000000000133e+00	4.762629798044254237e+00	1.262096896481727448e+01	4.975827431491829316e+02
1.660000000000000142e+00	4.780086483887616033e+00	1.271503004714105955e+01	4.987170019457948342e+02
1.669999999999999929e+00	4.797455403365979976e+00	1.280920592698716476e+01	4.998286390876492078e+02
1.679999999999999938e+00	4.814737219492724485e+00	1.290349574824049839e+01	5.009179152284614247e+02
1.689999999999999947e+00	4.831932589381833232e+00	1.299789866543713224e+01	5.019850891869638758e+02
1.699999999999999956e+00	4.849042164293132728e+00	1.309241384359146032e+01	5.030304179143800525e+02
1.709999999999999964e+00	4.866066589677709331e+00	1.318704045802659230e+01	5.040541564643206698e+02
1.719999999999999973e+00	4.883006505223484339e+00	1.328177769420787513e+01	5.050565579650082668e+02
